Artist,Song Title,Year,Tempo,Genre
Casual,0,0,92.198,hip hop
The Box Tops,0,1969,121.274,blue-eyed soul
Sonora Santanera,0,0,100.07,salsa
Adam Ant,0,1982,119.293,pop rock
Gob,0,2007,129.738,pop punk
Jeff And Sheri Easter,0,0,147.782,southern gospel
Rated R,0,0,111.787,breakbeat
Tweeterfriendly Music,0,0,101.43,post-hardcore
Planet P Project,0,1984,86.643,new wave
Clp,0,0,114.041,breakcore
JennyAnyKind,0,0,146.765,alternative rock
Wayne Watson,0,0,117.975,ccm
Andy Andy,0,0,130.04,bachata
Bob Azzam,0,0,137.334,chanson
Lionel Richie,0,1986,125.197,quiet storm
Blue Rodeo,0,1987,119.826,country rock
Richard Souther,0,0,127.756,chill-out
Faiz Ali Faiz,0,0,99.273,qawwali
Tesla,0,2004,150.062,hard rock
lextrical,0,0,138.331,indietronica
Jimmy Wakely,0,0,86.186,classic country
Alice Stuart,0,0,110.382,electric blues
Elena,0,0,111.874,uk garage
The Dillinger Escape Plan,0,2004,166.862,math-core
SUE THOMPSON,0,1985,137.522,pop rock
Five Bolt Main,0,0,164.672,post-grunge
Clp,0,0,125.006,breakcore
Tim Wilson,0,2005,90.022,filk
Willie Bobo,0,1997,127.025,latin jazz
Faye Adams,0,1961,95.957,jump blues
Terry Callier,0,1972,110.189,soul jazz
John Wesley,0,0,138.007,disco
The Shangri-Las,0,1964,130.1,doo-wop
Billie Jo Spears,0,1992,160.839,classic country
Mike Jones (Featuring CJ_ Mello & Lil' Bran),0,0,41.993,rap
Sierra Maestra,0,1997,189.646,charanga
Butthole Surfers,0,0,130.586,noise rock
Despina Vandi,0,0,128.292,dance pop
Javier Navarrete,0,0,90.932,orchestra
Jacob Young,0,0,89.667,cool jazz
Scarlet's Remains,0,2007,115.061,gothic metal
The Suicide Machines,0,2003,115.887,ska punk
The Rolling Stones,0,0,139.333,blues
Roberto Torres,0,0,117.271,salsa
Loudon Wainwright III,0,1995,102.428,modern rock
R.L. Burnside,0,2004,89.984,delta blues
Stevie Ray Vaughan,0,1992,116.721,texas blues
John Hammond,0,2002,123.142,blues
Casiotone For The Painfully Alone,0,2006,141.919,trip hop
Ec8or,0,1995,95.596,hardcore techno
The New York Dolls,0,1974,154.953,glam rock
Eliane Elias,0,2009,86.091,brazilian jazz
Lost Boyz,0,1997,90.218,gangster rap
The Germs,0,1977,133.144,rock
Yamandu Costa,0,0,205.317,brazilian jazz
Chris Rea,0,1986,180.149,soft rock
Perrey And Kingsley,0,1966,102.538,easy listening
Eurythmics,0,1985,84.164,dance rock
Francis Dunnery,0,1995,124.175,singer-songwriter
John Cale,0,1997,137.004,experimental rock
Suzanne Ciani,0,0,106.33,meditation
Vickie Winans,0,0,107.961,ccm
The Berzerker,0,2000,174.287,speedcore
Kings Of Leon,0,2003,116.823,southern rock
Edith Lefel,0,0,101.972,zouk
Taras,0,0,127.97,trance
NOFX,0,1992,152.622,punk
Murskahumppa,0,0,110.787,suomi rock
Soda Stereo,0,1990,112.903,rock
Bruce Rowland,0,1985,115.642,easy listening
Xcultures,0,2000,125.013,gabba
White Heart,0,0,113.277,ccm
Heavy D / McGruff,0,1997,96.979,pop rap
Van Halen,0,0,140.995,heavy metal
Black Eyed Peas,0,2004,105.206,hip hop
Nine Inch Nails,0,2000,63.017,industrial metal
